state,abbr,premDeath,poorHealth,poorPhyHealth,poorMenHealth,lowBWeight,smoking,obesity,inactivity,excessDrinking,drivingDeaths,std,teenBirths,uninsured,primaryCare,dentists,hospitalStays,diabetes,mamScreening,HSgraduation,college,unemployment,childrenPoverty,singleParent,crime
Alabama,AL,49,47,47,47,48,43,47,46,5,5,45,40,27,46,49,45,31,28,43,44,33,45,45,31
Alaska,AK,33,14,24,7,1,39,24,15,34,39,50,33,40,12,3,12,51,51,47,19,22,3,23,46
Arizona,AZ,24,33,20,20,15,9,10,9,23,21,25,46,35,40,29,10,48,17,31,33,38,40,35,31
Arkansas,AR,45,43,45,46,40,43,43,46,7,5,44,48,40,44,51,43,40,42,22,49,25,45,42,41
California,CA,6,43,38,35,11,2,5,2,23,45,30,22,40,24,7,9,43,39,37,35,50,30,23,35
Colorado,CO,16,14,10,11,38,16,1,1,31,33,27,29,33,19,11,6,43,31,42,6,28,15,5,26
Connecticut,CT,5,1,4,11,21,3,4,15,34,46,16,4,4,15,8,23,20,9,17,17,32,3,15,20
Delaware,DE,36,7,18,20,39,26,29,20,45,26,41,22,10,29,48,20,31,9,31,36,16,18,42,47
District of Columbia,DC,50,7,4,7,49,9,2,9,34,50,51,38,2,1,1,10,45,20,51,1,43,50,51,51
Florida,FL,31,33,31,42,36,26,14,20,17,21,29,29,49,34,38,29,31,11,45,38,46,36,45,43
Georgia,GA,39,33,24,31,46,26,24,20,9,21,38,42,46,43,46,33,31,34,48,37,41,40,42,33
Hawaii,HI,10,22,4,6,22,4,2,2,45,45,35,22,2,10,4,1,36,32,38,14,11,13,13,15
Idaho,ID,19,28,24,20,8,9,20,9,13,21,6,22,37,47,19,4,36,41,22,28,31,24,2,8
Illinois,IL,22,28,20,20,29,26,20,28,45,45,39,26,24,20,16,41,31,27,19,18,41,24,23,38
Indiana,IN,37,33,31,35,27,47,40,40,17,28,18,31,27,39,39,42,36,34,10,39,33,30,27,23
Iowa,IA,14,1,2,3,13,16,29,28,45,26,17,14,7,28,26,23,5,14,4,7,6,13,5,17
Kansas,KS,26,14,9,7,17,16,36,20,13,21,15,31,24,32,37,32,15,23,22,11,11,18,10,29
Kentucky,KY,43,49,50,50,40,50,47,46,5,11,23,42,33,40,27,51,31,40,31,46,38,40,29,14
Louisiana,LA,48,47,43,20,50,39,47,44,13,11,48,45,40,42,45,49,43,38,45,50,16,48,49,44
Maine,ME,18,14,31,35,4,26,24,15,23,28,2,5,10,3,35,20,8,3,11,31,20,18,23,1
Maryland,MD,25,14,10,14,43,4,24,20,13,39,37,14,13,9,13,26,31,16,17,10,15,2,29,42
Massachusetts,MA,3,7,12,14,19,4,5,13,34,51,12,3,1,4,2,39,5,1,17,4,18,3,15,34
Michigan,MI,30,22,24,42,29,34,43,28,34,39,42,14,16,17,15,35,15,21,42,25,44,36,29,39
Minnesota,MN,1,1,4,3,4,9,14,6,45,45,7,8,4,8,17,7,8,5,35,3,10,3,5,10
Mississippi,MS,51,50,45,47,51,47,51,50,4,1,49,51,40,51,50,48,40,49,42,47,48,51,50,17
Missouri,MO,40,33,38,44,22,43,40,42,23,16,33,33,21,36,40,39,20,30,25,29,29,27,29,37
Montana,MT,32,14,20,14,17,16,5,15,34,5,10,21,40,27,21,15,44,19,19,16,14,24,10,16
